Shell Ang Mo Kio Avenue 6,3535 Ang Mo Kio Ave 6 S569839,6459 9373,"24, 7E, HW",1.367885,103.844725
Shell Braddell,110 Braddell Road S359914,6281 3069,"24, 7E, Auto",1.3445353,103.8646105
Shell Lake View,80 Upper Thomson Road S574326,6259 8344,"24, 7E",1.3479418,103.8382791
Shell Peirce Reservoir,551 Upper Thomson Road S574415,6451 2692,"24, 7E",1.3699637,103.8280674
Shell Seletar Hills,298 Yio Chu Kang Road S805908,6481 0387,"24, 7E",1.3835704,103.8770396
Shell Sembawang,595 Sembawang Road S758454,6756 8468,"24, 7E, Auto",1.4405904,103.8243884
Shell Serangoon Garden,49 Serangoon Garden Way S555944,6280 1562,"24, 7E, Auto, HW",1.363314,103.867356
Shell Sin Ming,183A Upper Thomson Road S574332,6252 6910,"24, 7E",1.3512683,103.8354918
﻿Shell Toa Payoh,248 Lor 1 Toa Payoh S319755,6250 1021,"24, 7E, Auto, HW",1.3410768,103.8489819
Shell Upper Thomson Mandai,1200 Upper Thomson Road S787124,6456 9849,"24, 7E, Auto",1.3998629,103.817746
Shell Woodlands Ave 9,20 Woodlands Ave 9 S738954,6362 6191,"24, 7E",1.4443386,103.7900361
Shell Woodlands Mandai,695 Mandai Road S729752,6368 2990,7E,1.411349,103.7565304
Shell Yio Chu Kang,158 Yio Chu Kang Road S545612,6285 2898,"24, 7E",1.3607612,103.8739617
Shell Yishun Ave 5,1 Yishun Street 11 S768642,6755 6211,"24, 7E, HW",1.4308042,103.8330782
Shell Alexandra,358 Alexandra Road S159950,6472 1953,"24, HW, 7E",1.2906421,103.8068732
Shell Bukit Panjang,772 Upper Bukit Timah Road S678122,6769 1865,"24, 7E, Auto",1.3726012,103.7633584
Shell Commonwealth/Stirling Rd,355 Commonwealth Ave S149731,6473 2911,"24, 7E, Auto",42.349553,-71.088553
Shell Havelock,548 Havelock Road S169637,6733 5258,"24, 7E",1.2900039,103.8324288
﻿Shell Outram 305,305 Outram Road S169072,6223 5860,"24, 7E",1.2867865,103.8346316
Shell Queensway Anchorage,260 Queensway S149060,6476 7162,"24, 7E",1.2893032,103.8029722
Shell Telok Blangah,450 Telok Blangah Road S098857,6278 3011,"24, 7E, Auto",1.2706395,103.8128526
Shell Tiong Bahru,603 Tiong Bahru Road S158788,6473 1936,"24, 7E, Auto",1.2883695,103.819572
Shell Upper Bukit Timah PIE,35 Upper Bukit Timah Road S588166,6466 3481,"24, 7E, HW",1.3386397,103.7769201
Shell Changi Kembangan,460 Changi Road S419883,6345 9252,"24, 7E",1.3188132,103.912888
Shell Dunman,743 Dunman Road S439241,6342 1431,"24, 7E, Auto",1.30974,103.9010947
Shell East Coast,338 East Coast Road S428961,6344 1394,"24, 7E, HW",1.3081833,103.9096921
Shell Geylang Lor 7,203 Geylang Road S389266,6841 1715,"24, 7E, HW",1.3119704,103.8755894
﻿Shell Guillemard,132 Guillemard Road S399720,6346 1151,"24, 7E, HW",1.3105716,103.8838023
Shell Hougang,"600 Hougang Ave 3, S538846",6281 4100,"24, 7E, HW",1.3493017,103.8902031
Shell Macpherson,259 Macpherson Road S348584,6288 4573,"24, 7E",1.33111,103.8777773
Shell Pasir Ris,1 New Loyang Link S506931,6543 1340,"24, 7E",1.3657466,103.9672363
Shell Paya Lebar Macpherson,255 Paya Lebar Road S409037,6848 2160,"24, 7E, Auto, HW",1.331744,103.888823
Shell Paya Lebar PIE,98 Paya Lebar Road S409008,6748 0560,"24, 7E, Auto, HW",1.3216611,103.891653
Shell Punggol,821 Punggol Road S829169,6570 6359,"24, 7E, HW",1.4044971,103.9065805
Shell Sengkang,61 Sengkang East Road S545015,6489 7191,"24, 7E, Auto",1.3914941,103.8926956
Shell Siglap,40 Upper East Coast Road S455212,6442 5251,"24, 7E, HW",1.3126483,103.9265228
﻿Shell Simpang Bedok,331 Bedok Road S469504,6241 4950,"24, 7E, Auto",1.3308566,103.9476548
Shell Tampines Ave 2 (Under Renovation),9 Tampines Ave 2 S529731,6260 2232,NA,1.3491528,103.9477054
Shell Tanjong Katong,191 Tanjong Katong Road S436993,6744 1312,"24, 7E, Auto",1.3109052,103.8943898
Shell Boon Lay,2 Boon Lay Avenue S649960,6268 1944,"24, 7E, Auto, HW",1.3439896,103.7077371
Shell Bukit Batok Nature Park,28 Bukit Batok East Avenue 6 S659760,6465 6231,"24, 7E, Auto, HW",1.347643,103.7649539
Shell Bukit Batok Road,11 Bukit Batok West Avenue 3 S659166,6569 6343,"24, 7E",1.350132,103.738407
Shell Choa Chu Kang,20 Choa Chu Kang Drive S689717,6767 9189,"24, 7E",1.3855958,103.7464387
Shell Jalan Ahmad Ibrahim,311 Jalan Ahmad Ibrahim S619595,6265 0547,"24, 7E",1.3236492,103.721767
Shell Jurong West,21 Jurong West Ave 5 S649481,6793 5766,"24, 7E, HW",1.3501436,103.701239
﻿Shell Marsiling,10 Marsiling Road S739109,6366 6223,"24, 7E, HW",1.4384541,103.7755328
Shell Pasir Panjang 168,168 Pasir Panjang Road S118556,6474 3829,"24, 7E, HW",1.2773772,103.7897039
Shell Pasir Panjang 328,328 Pasir Panjang Road S118654,6872 4255,"24, 7E",1.2892848,103.777853
Shell Tuas,121 Tuas South Avenue 5 S637365,6898 4716,"7E; Mon-Fri, 7am to 6.30pm; Sat, 7am to 3pm; Closed on Sun and Public Holiday",1.2740767,103.6210131
