"30 mins","31045.6165,31694.0055","-","ALIWAL STREET ","10.00 PM","$0.60","08.30 AM","A0004","$0.60","30 mins","30 mins","C","69","Car","$0.60"
"","31126.0755,31564.9876","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DAY","31045.6165,31694.0055","-","ALIWAL STREET ","10.00 PM","$0.65","08.30 AM","A0004","$0.65","DAY","DAY","C","4","Motorcycle","$0.65"
"","31126.0755,31564.9876","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30 mins","30862.9996,32569.715","-","ALLENBY ROAD ","10.00 PM","$0.60","08.30 AM","A0005","$0.60","30 mins","30 mins","C","16","Car","$0.60"
"30 mins","29548.345,29292.548","-","AMOY STREET ","05.00 PM","$1.20","08.30 AM","A0006","$0.60","30 mins","30 mins","C","84","Car","$1.20"
"30 mins","29548.345,29292.548","-","AMOY STREET ","10.00 PM","$0.60","05.00 PM","A0006","$0.60","30 mins","30 mins","C","84","Car","$0.60"
"30 mins","27582.895,31962.0601","-","ANGULLIA PARK OFF STREET","05.00 PM","$1.30","07.00 AM","A0007","$0.70","30 mins","30 mins","B","268","Car","$1.30"
"30 mins","27582.895,31962.0601","Per min charging. Parking charge between 10.30pm & 7am is capped at $5.60.","ANGULLIA PARK OFF STREET","07.00 AM","$0.70","05.00 PM","A0007","$0.70","30 mins","30 mins","B","268","Car","$0.70"
"30 mins","27582.895,31962.0601","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","ANGULLIA PARK OFF STREET","07.00 AM","$0.10","07.00 AM","A0007","$0.10","30 mins","30 mins","B","83","Motorcycle","$0.10"
"30 mins","29394.9904,29258.8791","-","ANN SIANG ROAD ","05.00 PM","$1.20","08.30 AM","A0008","$0.60","30 mins","30 mins","C","26","Car","$1.20"
"30 mins","29394.9904,29258.8791","No Parking on Friday & Saturday (including public holidays) from 7.00pm to 2.00am","ANN SIANG ROAD ","10.00 PM","$0.60","05.00 PM","A0008","$0.60","30 mins","30 mins","C","26","Car","$0.60"
"30 mins","30770.0173,31622.8216","-","ARAB STREET ","10.00 PM","$0.60","08.30 AM","A0010","$0.60","30 mins","30 mins","C","95","Car","$0.60"
"DAY","30770.0173,31622.8216","-","ARAB STREET ","10.00 PM","$0.65","08.30 AM","A0010","$0.65","DAY","DAY","C","13","Motorcycle","$0.65"
"30 mins","29730.2995,30701.2921","-","ARMENIAN STREET OFF STREET","05.00 PM","$1.20","07.00 AM","A0011","$0.60","30 mins","30 mins","B","52","Car","$1.20"
"30 mins","29730.2995,30701.2921","Per min charging. Parking charge between 10.30pm & 7am is capped at $5.","ARMENIAN STREET OFF STREET","07.00 AM","$0.60","05.00 PM","A0011","$0.60","30 mins","30 mins","B","52","Car","$0.60"
"30 mins","29730.2995,30701.2921","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","ARMENIAN STREET OFF STREET","07.00 AM","$0.10","07.00 AM","A0011","$0.10","30 mins","30 mins","B","8","Motorcycle","$0.10"
"30 mins","29800.4211,30748.1712","-","ARMENIAN STREET ","05.00 PM","$1.20","08.30 AM","A0012","$0.60","30 mins","30 mins","C","10","Car","$1.20"
"30 mins","29800.4211,30748.1712","-","ARMENIAN STREET ","10.00 PM","$0.60","05.00 PM","A0012","$0.60","30 mins","30 mins","C","10","Car","$0.60"
"30 mins","29542.3676,29248.8218","-","AMOY STREET OFF STREET ","05.00 PM","$1.20","07.00 AM","A0021","$0.60","30 mins","30 mins","B","16","Car","$1.20"
